,MAE,MSE,R2
Random Forest,44.442099271079094,5244.855156257971,0.5180215088723845
RNN / LSTM,46.79281997680664,5760.80810546875,0.4706077575683594
Decision Tree,46.94593470671713,6031.5046310638,0.44573197644156837
Polynomial Regression,49.706684260446046,6300.077090210283,0.4210513809320041
Linear Regression,50.22280205641888,6432.909986312707,0.4088446379566204
